2018-05-18 12:22:56.072 | 30980 | AMSA\bzaino [ 8] DEBUG | Logger                                             .SetUserData user, Member originalUser) - Begin Method 
2018-05-18 12:22:56.087 | 30995 | AMSA\bzaino [ 8] DEBUG | Logger                                             .SetUserData user, Member originalUser) - End Method 
2018-05-18 12:22:58.810 | 33718 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-18 12:22:58.833 | 33741 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-18 12:22:58.835 | 33743 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:22:58.838 | 33746 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-18 12:22:58.844 | 33752 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-18 12:22:58.847 | 33755 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:22:58.849 | 33757 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-18 12:22:58.854 | 33762 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-18 12:22:58.856 | 33764 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:22:58.858 | 33766 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-18 12:22:58.863 | 33771 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-18 12:22:58.868 | 33776 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:22:58.871 | 33779 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-18 12:22:58.907 | 33815 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-18 12:22:58.910 | 33818 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:22:58.912 | 33820 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-18 12:22:58.916 | 33824 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-18 12:22:58.918 | 33826 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:22:58.922 | 33830 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-18 12:22:58.927 | 33835 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-18 12:22:58.929 | 33837 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:22:58.930 | 33838 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-18 12:22:58.934 | 33842 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-18 12:22:58.936 | 33844 | AMSA\bzaino [24] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:22:58.939 | 33847 | AMSA\bzaino [24] DEBUG | Logger                                             .InsertUserProfileResponses(int userId, IList<MemberProfileAnswer> responses) - Begin Method 
